alew001puit01_01.TEI.2.text.body.div.div.sp.238.s.9	EmbodiedEmotions-EmotionLabel:Verdriet	EmbodiedEmotions-Level1:Lichaamswerking	huilen
alew001puit01_01.TEI.2.text.body.div.div.sp.238.s.9	EmbodiedEmotions-EmotionLabel:Overig	EmbodiedEmotions-Level1:Lichaamswerking	huilen
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.275.s.1	EmbodiedEmotions-EmotionLabel:Wanhoop	EmbodiedEmotions-Level1:Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.275.s.1	EmbodiedEmotions-EmotionLabel:Overig	EmbodiedEmotions-Level1:Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.288.s.3	EmbodiedEmotions-EmotionLabel:Walging	EmbodiedEmotions-Level2:Emotie	walg
alew001puit01_01.TEI.2.text.body.div.div.sp.312.s.5	EmbodiedEmotions-EmotionLabel:Overig	EmbodiedEmotions-Level1:Lichaamswerking	huilt
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.311.s.1	EmbodiedEmotions-EmotionLabel:Overig	EmbodiedEmotions-Level1:Lichaamswerking	schreijen
alew001puit01_01.TEI.2.text.body.div.div.sp.327.s.1	EmbodiedEmotions-EmotionLabel:Walging	EmbodiedEmotions-Level2:Lichaamsdeel	long
alew001puit01_01.TEI.2.text.body.div.div.sp.327.s.1	EmbodiedEmotions-EmotionLabel:Walging	EmbodiedEmotions-Level2:Lichaamsdeel	leever
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.377.s.1	EmbodiedEmotions-EmotionLabel:Verdriet	EmbodiedEmotions-Level1:Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.411.s.2	EmbodiedEmotions-EmotionLabel:Verdriet	EmbodiedEmotions-Level2:Lichaamsdeel	hart
alew001puit01_01.TEI.2.text.body.div.div.sp.466.s.1	EmbodiedEmotions-EmotionLabel:Overig	EmbodiedEmotions-Level1:Lichaamswerking	lach
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.541.s.1	EmbodiedEmotions-EmotionLabel:Liefde	EmbodiedEmotions-Level1:EmotioneleHandeling	kussende
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.559.s.1	EmbodiedEmotions-EmotionLabel:Liefde	EmbodiedEmotions-Level1:EmotioneleHandeling	omhelst
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.559.s.1	EmbodiedEmotions-EmotionLabel:Liefde	EmbodiedEmotions-Level1:EmotioneleHandeling	kust
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.571.s.1	EmbodiedEmotions-EmotionLabel:Liefde	EmbodiedEmotions-Level1:EmotioneleHandeling	omhelzen
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.654.s.1	EmbodiedEmotions-EmotionLabel:Verdriet	EmbodiedEmotions-Level1:Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.speaker.654.s.1	EmbodiedEmotions-EmotionLabel:Wanhoop	EmbodiedEmotions-Level1:Lichaamswerking	huilende
alew001puit01_01.TEI.2.text.body.div.div.sp.713.s.2	EmbodiedEmotions-EmotionLabel:Angst	EmbodiedEmotions-Level1:Lichaamswerking	piepen
alew001puit01_01.TEI.2.text.body.div.div.sp.713.s.2	EmbodiedEmotions-EmotionLabel:Angst	EmbodiedEmotions-Level2:Emotie	schrik
alew001puit01_01.TEI.2.text.body.div.div.sp.838.s.3	EmbodiedEmotions-EmotionLabel:Blijdschap	EmbodiedEmotions-Level1:Lichaamswerking	greynsen
alew001puit01_01.TEI.2.text.body.div.div.sp.838.s.3	EmbodiedEmotions-EmotionLabel:Trots	EmbodiedEmotions-Level1:Lichaamswerking	greynsen
alew001puit01_01.TEI.2.text.body.div.div.sp.882.s.1	EmbodiedEmotions-EmotionLabel:Angst	EmbodiedEmotions-Level2:Emotie	bang
alew001puit01_01.TEI.2.text.body.div.div.sp.975.s.1	EmbodiedEmotions-EmotionLabel:Wroeging	EmbodiedEmotions-Level2:Lichaamsdeel	bloed
alew001puit01_01.TEI.2.text.body.div.div.sp.975.s.1	EmbodiedEmotions-EmotionLabel:Wroeging	EmbodiedEmotions-Level1:Lichaamswerking	bloed kookt
alew001puit01_01.TEI.2.text.body.div.div.sp.975.s.1	EmbodiedEmotions-EmotionLabel:Wroeging	EmbodiedEmotions-Level2:Lichaamsdeel	lyf
alew001puit01_01.TEI.2.text.body.div.div.sp.975.s.1	EmbodiedEmotions-EmotionLabel:Wroeging	EmbodiedEmotions-Level2:Emotie	spyt
alew001puit01_01.TEI.2.text.body.div.div.sp.1047.s.2	EmbodiedEmotions-EmotionLabel:Verdriet	EmbodiedEmotions-Level2:Emotie	verdriet
alew001puit01_01.TEI.2.text.body.div.div.sp.1100.s.1	EmbodiedEmotions-EmotionLabel:Angst	EmbodiedEmotions-Level2:Emotie	vrees
alew001puit01_01.TEI.2.text.body.div.div.sp.1143.s.4	EmbodiedEmotions-EmotionLabel:Angst	EmbodiedEmotions-Level1:EmotioneleHandeling	stoof
alew001puit01_01.TEI.2.text.body.div.div.sp.stage.1142.s.1	EmbodiedEmotions-EmotionLabel:Verdriet	EmbodiedEmotions-Level1:Lichaamswerking	huilen
alew001puit01_01.TEI.2.text.body.div.div.sp.1149.s.1	EmbodiedEmotions-EmotionLabel:Verdriet	EmbodiedEmotions-Level1:Lichaamswerking	huil
alew001puit01_01.TEI.2.text.body.div.div.sp.1183.s.1	EmbodiedEmotions-EmotionLabel:Angst	EmbodiedEmotions-Level2:Emotie	bang
alew001puit01_01.TEI.2.text.body.div.div.sp.1739.s.1	EmbodiedEmotions-EmotionLabel:Verdriet	EmbodiedEmotions-Level2:Lichaamsdeel	hert
